epoch,train_loss,train_f1,val_loss,val_f1
0,0.9634303837380511,0.3005044899584754,0.6149772490773883,0.2018779342723005
1,0.21382166191618493,0.31065210245865005,0.6390631965228489,0.05810397553516819
2,0.21288319566148392,0.33437600749458035,0.6345032964433942,0.20116959064327486
3,0.21370709639914492,0.30477755548225555,0.6334883570671082,0.20116959064327486
4,0.21283767293108272,0.305054654761313,0.6425509197371346,0.05810397553516819
5,0.21323324961865203,0.3021676440947088,0.6355306250708443,0.20116959064327486
6,0.21282540737314426,0.30510500597365703,0.6387430003711155,0.05810397553516819
7,0.2127526545144142,0.3307378043434219,0.6362192205020359,0.21387940841865757
8,0.21263967739774825,0.3117570504212959,0.63468337059021,0.20116959064327486
9,0.21267335370500037,0.32543093602031975,0.6420328361647469,0.05810397553516819
10,0.2127248873101904,0.295827263694989,0.6362026163509914,0.21387940841865757
11,0.21263348707493315,0.32630437769348136,0.6316280875887189,0.20116959064327486
12,0.21262662493168039,0.3292560049098923,0.6369760206767491,0.05810397553516819
13,0.21263236346396994,0.31723827936724563,0.6337459172521319,0.20116959064327486
14,0.21257154802058606,0.33569942815399895,0.6426779712949481,0.05810397553516819
15,0.21258307359320053,0.27682237846247065,0.6384730849947248,0.05810397553516819
16,0.21257563664558085,0.30120431466812975,0.6355237705366952,0.20116959064327486
17,0.21253851309735725,0.30389045908922446,0.6372108033725193,0.20116959064327486
18,0.21243914454541307,0.3004347552099494,0.6342967322894505,0.20116959064327486
19,0.2124575801352237,0.32997611594171555,0.6360818828855243,0.20116959064327486
20,0.21234270201084463,0.31132238588843125,0.6354872328894479,0.21387940841865757
21,0.21251558560006162,0.2804395903992252,0.6376440354755947,0.05810397553516819
22,0.21241736919321913,0.3309292590068656,0.635216338293893,0.20116959064327486
23,0.21236699756155622,0.3064136150823212,0.6341479931558881,0.20116959064327486
24,0.21253608484217462,0.30175003260180566,0.6380909766469683,0.05810397553516819
25,0.21225933698897667,0.3192781853797098,0.6344009637832642,0.20116959064327486
26,0.2123236767155059,0.3202900571930388,0.6372986946787152,0.05810397553516819
27,0.21246127498910783,0.31324200331402324,0.6387836422239032,0.05810397553516819
28,0.21252236340908295,0.3006931969524321,0.6364810977663312,0.20116959064327486
29,0.21227803509286108,0.32136948115159586,0.6361738698823112,0.20116959064327486
